Publication	Status_PCA	Status_PAA	Status_PMA
LipsonNature2020	available	available	unavailable
MafessoniPNAS2020	available	available	unavailable
MarcusNatureCommunications2020	available	available	unavailable
MargaryanWillerslevNature2020	available	available	unavailable
MassilaniPaaboScience2020	available	available	unavailable
NagelePosthScience2020	available	available	unavailable
NakatsukaCell2020	available	available	unavailable
NakatsukaLuisiNatureCommunications2020	available	available	unavailable
NingNatureCommunications2020	available	available	unavailable
PugachPNAS2020	available	available	unavailable
RivollatScienceAdvance2020	available	available	unavailable
SkourtaniotiCell2020	available	available	unavailable
TeschlerNicolaCommunicationsBiology2020	available	available	unavailable
WangSciAdv2020	available	available	unavailable
WangbioRxiv2020	unavailable	available	unavailable
WegmannCurBio2020	available	available	unavailable
YangScience2020	available	available	unavailable
YuCell2020	available	available	unavailable
ZegaracBurgerbioRxiv2021	available	available	unavailable
BortoliniBenazziCurBio2021	available	available	unavailable
CapodiferroAchilliCell2021	available	available	unavailable
CarlhoffBrummNature2021	available	available	unavailable
ClementeCell2021	available	available	unavailable
CookeNakagomeSciAdv2021	unavailable	available	unavailable
EgfjordAllentoftPLOS2021	available	available	unavailable
FowlerOlaldeNature2021	unavailable	available	unavailable
FreilichPinhasiScientificReports2021	available	available	unavailable
GnecchiRusconeScienceAdvances2021	available	available	unavailable
HajdinjakPaaboNature2021	unavailable	available	unavailable
HarneyCheronetGenomeResearch2021	available	available	unavailable
IngmanStockhammerPLoS2021	unavailable	available	unavailable
KilincSciAdv2021	available	available	unavailable
LarenaJakobbsonPNAS2021	available	available	unavailable
MaoFuCell2021	available	available	unavailable
NovakPLoSOne2021	available	available	unavailable
PapacScienceAdvances2021	available	available	unavailable
PattersonNature2021	available	available	unavailable
PopovicBacaSciAdv2021	unavailable	available	unavailable
PosthScienceAdvances2021	unavailable	available	unavailable
PrueferNatureEcologyEvolution2021	unavailable	available	unavailable
RobbeetsNingNature2021	unavailable	available	unavailable
SaagMetspaluScience2021	available	available	unavailable
SaupeScheibCurrBio2021	available	available	unavailable
SeguinOrlandoCurrBio2021	available	available	unavailable
SilvaRichardsSciRep2021	unavailable	available	unavailable
SirakNatureCommunications2021	unavailable	available	unavailable
SvenssonJakobssonCurrBio2021	available	available	unavailable
VillalbaMoucoSciAdv2021	unavailable	available	unavailable
WangCell2021	unavailable	available	unavailable
WangNature2021	available	available	unavailable
YakaSomelCurrBio2021	available	available	unavailable
ZhangNature2021	unavailable	available	unavailable
AneliPaganiMolBioEvol2022	unavailable	available	unavailable
AntoniobioRxiv2022	unavailable	available	unavailable
ChangmaiPLoSGenetics2022	unavailable	available	unavailable
ChildebayevaHaakMolBioEvo2022	unavailable	available	unavailable
DeAngelisRickardsGenes2022	unavailable	available	unavailable
DuliasPNAS2022	unavailable	available	unavailable
GelabertCurrBio2022	unavailable	available	unavailable
GelabertSciRep2022	unavailable	available	unavailable
GnecchiRusconeCell2022	available	available	unavailable
GretzingerNature2022	available	available	unavailable
KennettLipsonPruferNatureCommunications2022	unavailable	available	unavailable
KumarFuScience2022	unavailable	available	unavailable
LazaridisAlpaslanRoodenbergScience2022	unavailable	available	unavailable
LindoFigueiroPNASNexus2022	unavailable	available	unavailable
LipsonSawchukNature2022	unavailable	available	unavailable
LiuJeongNatComm2022	unavailable	available	unavailable
LiuScience2022	unavailable	available	unavailable
MarchExcoffierCell2022	unavailable	available	unavailable
MarotiTorokCurrBio2022	unavailable	available	unavailable
MootsbioRxiv2022	unavailable	available	unavailable
OliveiraNatureEcologyEvolution2022	unavailable	available	unavailable
RivollatDeguillouxPNAS2022	unavailable	available	unavailable
ScorranoMacciardiSciRep2022	unavailable	available	unavailable
SpyrouNature2022	unavailable	available	unavailable
SrigyanValdioseraCommBio2022	unavailable	available	unavailable
TieslerSedigAntiquity2022	unavailable	available	unavailable
UllingerNearEasternArchaeology2022	unavailable	available	unavailable
WohnsScience2022	unavailable	available	unavailable
YuvandeLoosdrechtiScience2022	available	available	unavailable
2023_Penske_EarlyContact	available	unavailable	unavailable
